accepted_name,family,broader,establishment_means,taxonID,park_list,voucher_exists,iNat_RG_record_exists
Erigeron pygmaeus,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76937,1,1,1
Erigeron strigosus,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/76942,1,1,
Erigeron tener,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76945,1,1,
Erigeron vagus,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76948,1,1,1
Eriophyllum confertiflorum,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/53395,1,1,1
Eriophyllum congdonii,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77047,1,1,
Eriophyllum lanatum,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77049,1,1,1
Eriophyllum nubigenum,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77053,1,1,1
Eurybia integrifolia,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77123,1,1,1
Euthamia occidentalis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/58826,1,1,1
Gaillardia pulchella,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/51768,1,,
Gnaphalium palustre,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/57980,1,1,1
Hazardia whitneyi,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77343,1,1,
Helenium bigelovii,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/61807,1,1,1
Helianthella californica,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/59922,1,1,
Helianthus annuus,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/57983,1,1,
Helianthus bolanderi,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77352,1,,
Helianthus californicus,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/56954,1,1,1
Hemizonella minima,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77367,1,1,1
Hesperevax acaulis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77369,,1,
Heterotheca grandiflora,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/58831,1,,
Heterotheca sessiliflora,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/57988,1,1,
Heterotheca villosa,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77399,1,1,
Hieracium albiflorum,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/63937,1,1,1
Hieracium horridum,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77415,1,1,1
Hieracium murorum,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/163793,,1,
Hieracium scouleri,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77418,1,1,
Hieracium triste,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77419,1,1,1
Holocarpha virgata,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/53099,1,1,
Hulsea algida,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/48929,1,1,1
Hulsea brevifolia,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77462,1,1,1
Hulsea heterochroma,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77464,1,1,1
Hymenoxys hoopesii,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/49037,1,,
Hypochaeris glabra,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/53103,1,1,
Hypochaeris radicata,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/53104,1,1,1
Jensia yosemitana,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77544,1,1,1
Kyhosia bolanderi,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/77614,1,1,
Lactuca pulchella,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/983070,1,1,
Lactuca serriola,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/53107,1,1,1
Lasthenia californica,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/50987,1,,
Layia pentachaeta,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/58006,1,1,
Lessingia leptoclada,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/63001,1,1,1
Leucanthemum vulgare,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/56057,1,1,1
Logfia gallica,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/56949,1,1,
Madia elegans,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/56974,1,1,1
Madia exigua,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/56971,1,1,1
